,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Report Project DAILY JUNI,,,,,,,,,,,,,,,,,,,,,,,,"PROGRESS DONE ALL DIVISI PER UNIT DILUAR PEKERJAAN KD, KP & QA",,,,,,,,,,"PROGRESS DONE ALL DIVISI PER UNIT DILUAR PEKERJAAN KD, KP & QA",,,,,,,,,,"PROGRESS DONE ALL DIVISI PER UNIT DILUAR PEKERJAAN KD, KP & QA",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"PERHITUNGAN JAM KERJA DI LUAR TEAM MIS & WAREHOUSE (GABUNGAN MARGIN, NON MARGIN & ALL UNIT)",,,,UNIT MARGIN,,,,,,,,,,UNIT MARGIN,,,,,,,,,,UNIT MARGIN,,,,,,,,
,UNIT MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,NAMA UNIT,MECHANIC,BODY WORK,BODY PAINT,INTERIOR,CHROME,BUBUT,TOTAL 8-13 JUNI,ACTUAL FOTO SPF (Done),,NAMA UNIT,MECHANIC,BODY WORK,BODY PAINT,INTERIOR,CHROME,BUBUT,TOTAL 15-21 JUNI,ACTUAL FOTO SPF (Done),,NAMA UNIT,MECHANIC,BODY WORK,BODY PAINT,INTERIOR,CHROME,BUBUT,TOTAL 22-30 JUNI,ACTUAL FOTO SPF (Done)
,No.,Nama unit,MECHANIC,,BODY WORK,,BODY PAINT,,INTERIOR,,CHROME,,BUBUT,,QA,,ALL DIVISI,,TOTAL,TOTAL JAM KERJA ACTUAL,,,,,,MB R129 Mr. DIKO,5,0,25,5,0,1,36,34,,MB R129 Mr. DIKO,18,2,17,1,0,0,38,29,,MB R129 Mr. DIKO,41,2,21,6,9,0,79,50
,,,TARGET,ACTUAL,TARGET,ACTUAL,TARGET,ACTUAL,TARGET,ACTUAL,TARGET,ACTUAL,TARGET,ACTUAL,TARGET,ACTUAL,TARGET,ACTUAL,,,,,,,,MB MPS Mr. DIKO,12,0,2,1,0,0,15,12,,MB MPS Mr. DIKO,8,0,6,0,0,0,14,15,,MB MPS Mr. DIKO,11,0,2,4,0,0,17,14
,1,CHEVROLET Mr. NYOMAN,100:00,21:19,100:00,242:35,50:00,0:00,50:00,0:00,30:00,12:35,39:00,29:59,0:00,0:00,0:00,0:00,369:00,306:28,,"Senin, 01 Juni 2026",551:16,,,MB 500 SEC Mr. DIKO,9,0,10,0,0,1,20,18,,MB 500 SEC Mr. DIKO,9,2,3,3,0,0,17,17,,MB 500 SEC Mr. DIKO,17,1,3,2,0,0,23,15
,2,FERRARI F355 Mr. SILMY,0:00,2:20,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,2:20,,"Selasa, 02 Juni 2026",534:38,,,PORSCHE 911 Mr. HANDY,2,1,0,0,1,0,4,3,,CHEVROLET Mr. NYOMAN,0,0,0,0,0,0,0,1,,CHEVROLET Mr. NYOMAN,1,2,0,0,0,1,4,5
,3,JAGUAR XK120 Mr. JAMES,200:00,231:25,100:00,12:03,100:00,99:43,150:00,44:01,100:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,650:00,387:12,,"Rabu, 03 Juni 2026",550:04,,,CHEVROLET Mr. NYOMAN,0,5,0,0,0,0,5,4,,MB 500 SEL Mr. SILMY,0,1,0,0,0,0,1,0,,MB 500 SEL Mr. SILMY,0,0,0,0,0,3,3,0
