,,,,,,,,,,,,,,,,,,,
PILIH UNIT MOBIL DI SINI ➡️,PAGODA Mr. DIDI,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,NO,KODE PART,BAGIAN /,NAMA PART,KONDISI,,,JUMLAH,LOKASI,TANGGAL,,KETERANGAN,FOTO,,,,,,
,,,PANEL,,BARU,READY,BEKAS,,,MASUK,KELUAR,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1,004-0001,INTERIOR,SUN VISOR RIGHT AND LEFT WITH MIRROR (54),FALSE,TRUE,FALSE,2 PCS,RT - C12,,,Keranjang 1,,,,,,,
,2,004-0002,INTERIOR,GRIP RAIL RIGHT FRONT ROOF RAIL (102),FALSE,TRUE,FALSE,1 PCS,RT - C12,,,,,,,,,,
,3,004-0003,INTERIOR,GRIP RAIL + GRIP RAIL REAR (109),FALSE,TRUE,FALSE,2 PCS,RT - C12,,,,,,,,,,
,4,004-0004,INTERIOR,ASHTRAY (77),FALSE,TRUE,FALSE,1 PCS,RT - C12,,,,,,,,,,
,5,004-0005,INTERIOR,INSIDE REARVIEW MIRROR INSIDE (6),FALSE,TRUE,FALSE,1 PCS,RT - C12,,,,,,,,,,
,6,005-0001,EXTERIOR,OUTSIDE REARVIEW MIRROR OUTSIDE LEFT (29),FALSE,TRUE,FALSE,1 PCS,RT - C12,,,,,,,,,,
,7,005-0002,EXTERIOR,OUTSIDE REARVIEW MIRROR OUTSIDE RIGHT (35),FALSE,TRUE,FALSE,1 PCS,RT - C12,,,,,,,,,,
,8,002-0001,UNDERCARIAGE,RESERVOIR TEVES (151),FALSE,TRUE,FALSE,1 PCS,RT - C9,,,Keranjang 1,,,,,,,
,9,002-0002,UNDERCARIAGE,SENDER UNIT FRONT SUPPLY CHAMBER (158),FALSE,TRUE,FALSE,4 PCS,RT - C9,,,Keranjang 1,,,,,,,
,10,002-0003,UNDERCARIAGE,CONNECTOR TEVES (153),FALSE,TRUE,FALSE,2 PCS,RT - C9,,,Keranjang 1,,,,,,,
,11,002-0004,UNDERCARIAGE,FILLER CAP (163),FALSE,TRUE,FALSE,2 PCS,RT - C9,,,Keranjang 1,,,,,,,
,12,002-0005,UNDERCARIAGE,FILLER CAP (155),FALSE,TRUE,FALSE,1 PCS,RT - C9,,,Keranjang 1,,,,,,,
,13,002-0006,UNDERCARIAGE,BRAKE BOOSTER  ASSEMBLY (116),FALSE,TRUE,FALSE,1 PCS,RT - C8,,,,,,,,,,
,14,002-0007,UNDERCARIAGE,STRAINER TEVES (152),FALSE,TRUE,FALSE,1 PCS,RT - C9,,,Keranjang 1,,,,,,,
,15,002-0008,UNDERCARIAGE,LINE,FALSE,TRUE,FALSE,5 PCS,RT - C9,,"15/04/2026
MAULANA",Keranjang 1,,,,,,,
,16,002-0009,UNDERCARIAGE,FLANGE (170),FALSE,TRUE,FALSE,2 PCS,RT - C9,,,Keranjang 1,,,,,,,
,17,002-0010,UNDERCARIAGE,RACHET ROD (280),FALSE,TRUE,FALSE,1 PCS,RT - C3,,,Keranjang 3,,,,,,,
,18,002-0011,UNDERCARIAGE,PIN BRAKE CABLE TO INTERMEDIATE LEVER (349),FALSE,TRUE,FALSE,1 PCS,RT - C3,,,Keranjang 3,,,,,,,
,19,002-0012,UNDERCARIAGE,BRAKE LEVER (409),FALSE,TRUE,FALSE,1 PCS,RT - C3,,,Keranjang 3,,,,,,,
,20,002-0013,UNDERCARIAGE,SCREW BRAKE READJUSTMENT (417),FALSE,TRUE,FALSE,1 PCS,RT - C3,,,Keranjang 3,,,,,,,
,21,002-0014,UNDERCARIAGE,BRAKE CABLE CENTRAL (397),FALSE,TRUE,FALSE,1 PCS,RT - C3,,,Keranjang 3,,,,,,,
,22,002-0015,UNDERCARIAGE,PAWL (289),FALSE,TRUE,FALSE,1 PCS,RT - C3,,,Keranjang 3,,,,,,,
,23,002-0016,UNDERCARIAGE,CLICH-BOLD (293),FALSE,TRUE,FALSE,1 PCS,RT - C3,,,Keranjang 3,,,,,,,
,24,001-0001,ENGINE,"OIL COOLER, AIR COOLING (35)",FALSE,TRUE,FALSE,1 PCS,RT - C17,,,,,,,,,,
,25,001-0002,ENGINE,HOSE (157),FALSE,TRUE,FALSE,1 PCS,RT - C25,,,,,,,,,,
,26,001-0003,ENGINE,HOSE (174),FALSE,TRUE,FALSE,1 PCS,RT - C25,,,,,,,,,,
,27,001-0004,ENGINE,Fan shroud,FALSE,TRUE,FALSE,1 PCS,RT - C,,,,,,,,,,
,28,001-0005,ENGINE,Hose (183),FALSE,TRUE,FALSE,1 PCS,RT - C25,,,,,,,,,,
,29,001-0006,ENGINE,FAN,FALSE,TRUE,FALSE,1 PCS,RT - C9,,,,,,,,,,
