,,,,,,,,,,,,,
,,,,,,,,,,,,,
NO,NAMA ,UNIT,TANGGAL,DIVISI,PEMBAHASAN,STATUS,,,KETERANGAN,APPROVAL COO,,STATUS PEMBAHASAN,
,,,,,,PENDING,ON PROGRESS,DONE,,ACC,DECLINE,,
,,,,,,,,,,,,,
1,YUDHA,MB R107 Mr. SILMY,"Rabu, 29 April 2026",MEKANIK ,"KOMPRESOR AC YANG MENEMPEL PADA LINK STABILIZER DEPAN (KURANG TINGGI). 
SOLVING NYA :
KARENA BRACKET KOMPRESOR SUDAH TIDAK BISA LAGI DI NAIKAN, IZIN UNTUK DI AJUKAN DUDUKAN BAUT KOMPRESOR DI PAPAS, AGAR KOMPRESOR AC TIDAK MENYENTUH LINK STABILIZER",FALSE,FALSE,TRUE,KOMPRESOR AC DI GANTI UKURAN KE YANG LEBIH KECIL. UNTUK DI TUKAR KE PAK TONI AC,FALSE,TRUE,DONE,"Proses hunting part pulley compresor, fu kembali jumat 15 mei 2026"
2,NANDA,FERRARI F355 Mr. SILMY,"Rabu, 29 April 2026",BODY PAINT,"FENDER BELAKANG RH CAT ABSORBE (NGISEP) CATA BAWAAN KARENA PADA BAGIAN INI TIDAK KITA KERJAKAN. 
SOLVING NYA: 
PENGAJUAN UNTUK DI SPRAY SOL CAT NAMUN DI KEROK DAHULU SAMPAI PLAT, DENGAN PERTIMBANGAN AGAR TIDAK TIMBUL KEMBALI (NGISEP) DALAM WAKTU DEKAT. DIKERJAKAN 4 JAM PIC PAK RIZKY

NAMUN ADA OPSI LAIN JUGA UNTUK HANYA DI SANDING + COMPUND POLESH TAPI KEMUNGKINAN AKAN TIMBUL KEMBALI DALAM WAKTU DEKAT. DIKERJAKAN 2 JAM PIC PAK DADAN
MAKA DARI ITU IZIN PEMBAHASAN LANGSUNG BERSAMA BAPAK SERTA PENINJAUAN DI UNIT.",FALSE,FALSE,TRUE,SOL CAT,TRUE,FALSE,DONE,
3,NANDA,FERRARI F355 Mr. SILMY,"Rabu, 29 April 2026",BODY PAINT,"FENDER BELAKANG LH CAT MENGKERUT SAAT PROSES COMPOUND OLEH PAK DADAN. HAL INI TERJADI KARENA KONDISI CAT BAWAAN LEMBEK DAN KETIDAK HATI-HATIAN SAAT MENGGUNAKAN ALAT POLES, MAKA DARI ITU SAAT INI PROGRESS PENGERJAAN DILANJUTKAN DENGAN CARA MANUAL.
SOLVING NYA :
PENGAJUAN UNTUK DI SPRAY SOL CAT (PENGULANGAN) DENGAN DURASI 2 JAM PIC RIZKY",FALSE,FALSE,TRUE,SOL CAT,TRUE,FALSE,DONE,
4,IQBAL N,MB 500 SEL Mr. SILMY,"Kamis, 30 April 2026",MEKANIK ,"KARET BANTALAN TITIK 3 DAN TITIK 4
HUNTING LOKAL TEAM PURCHASING SUDAH TIDAK MENEMUKAN
SOLVING NYA:
KARET BANTALAN MEMAKAI UNIT MB 560 SEC P. SILMY YANG BERTANDA TITIK 2. KEMUDIAN BANTALAN TERSEBUT DI TAMBAHKAN DENGAN BANTALAN BAWAAN UNIT YANG TITIK 1, NAMUN YANG TITIK 1 INI AKAN DILAKUKAN PEMAPASAN DAHULU 3 MM AGAR HASIL AKHIR NYA MENJADI 18 MM SESUAI DENGAN KARET BANTALAN TITIK 3",FALSE,FALSE,TRUE,"PASANGKAN DENGA BANTALAN KARET BAN BAWAAN UNIT, PEMASANGAN PER DI TUKAR ANTARA RH/LH",FALSE,TRUE,DONE,
5,IQBAL N,MB 500 SEL Mr. SILMY,"Kamis, 30 April 2026",MEKANIK ,"TRIM PLAFON BELAKANG
ADA PERBEDAAN WARNA DENGAN TRIM SAMPING BELAKANG RH/LH, KARENA KONDISI PLAFON BELAKANG LEBIH TUA WARNA SEBELUMNYA . SEHINGGA SAAT DILAKUKAN PENGECATAN TIDAK TERKEJAR WARNA NYA UNTUK SESUAI DENGAN TRIM SAMPING BELAKANG. SEBELUM NYA WARNA SUDAH ACC OLEH PAK HERDY SAAT UNTUK PERSIAPAN KEDATANGAN PAK SILMY 18 APRIL 2026. 
SOLVING NYA :
PENGECATAN ULANG TRIM PLAFON BAGIAN BELAKANG DI SAMAKAN WARNA TRIM SAMPING, PIC DENDI ESTIMASI 6 JAM (BERIKUT MIXING WARNA)",FALSE,FALSE,TRUE,ACC KERJAKAN 6 JAM OLEH DENDI,TRUE,FALSE,DONE,
6,IQBAL N,MB 500 SEL Mr. SILMY,"Kamis, 30 April 2026",MEKANIK ,"AREA BODY MOULDING DEPAN RH/LH ABSORBE (NGISEP)
SOLVING NYA :
DILAKUKAN REPAIR DAN CAT ULANG BODY MOULDING PADA BAGIAN YG ABSORBE (NGISEP). PIC DENDI ESTIMASI 32 JAM (SANDING + PILIHAN DEMPUL + POXY + SPRAY CAT + SPRAY VERNIS)",FALSE,FALSE,TRUE,"ACC KERJAKAN SEBELAH KIRI SAJA OLEH DENDI 10 JAM, DENGAN CATATAN HASIL MAKSIMAL KERJAKAN SECEKATAN MUNGKIN, BAGIAN KANAN TOLERANSI TIDAK PERLU DI KERJAKAN. HAL INI TERJADI DARI KURANG PENGERINGAN",FALSE,TRUE,DONE,tgl 13 sudah selesai
7,IQBAL N,MB 500 SEL Mr. SILMY,"Kamis, 30 April 2026",MEKANIK ,"PEMBUATAN STICKER / DECAL SHIFTER DAN STICKER DI TUTUP TANGKI
IZIN DIPERLIHATKAN",FALSE,FALSE,TRUE,"STICKER TANGKI BENSIN BUAT KEMBALI, SESUAIKAN DENGAN CONTOH. UNTUK STOCKER SHIFTER TRANSMISI BUAT CUTTING STOCKER UNTUK DOUBLE WARNA HITAM NYA",FALSE,TRUE,DONE,
8,IQBAL N,MB 500 SEL Mr. SILMY,"Kamis, 30 April 2026",MEKANIK ,"SPEEDOMETER
OPSI 1
SPEEDOMETER YANG NGACO / TIDAK SESUAI ACTUAL JALAN KENDARAAN
SUDAH DI BAHAS DENGAN TEAM PURCHASING YANG LANGSUNG BERKOORDINASI DENGAN PIHAK VENDOR PAK DONI, NAMUN DARI PIHAK PAK DONI MEMINTA SELURUH KOMPONEN SPEEDOMETER DI BAWA DAHULU UNTUK DIPERIKSA KESELURUHAN, DIKHAWATIRKAN ADA EROR DI KOMPONEN YANG LAIN. NAMUN DARI PAK DONI INI SLOW RESPON DALAM KOMUNIKASI, YANG DIKHAWATIRKAN JIKA DILANJUTKAN AKAN MENGHAMBAT PROGRESS SELANJUT NYA

OPSI 2 
SPEEDOMETER DI BAWA KE VENDOR PAK BENO YANG ADA DI JALAN PUNGKUR, BELIAU ADALAH SPESIALIS SERVICE SPEEDOMETER. INFORMASI DI DAPATKAN DARI PAK KAMIN.",FALSE,FALSE,TRUE,"SPEEDOMETER KIRIM KE MAS AJI, SEBELUM NYA DI LAKUKAN PERECAHAN DULU DAN PERLIHATKAN KE BAPAK DAHULU, JIKA BAPAK SUDAH ACC BARU UNTUK DI KIRIM KE VENDOR",FALSE,TRUE,DONE,tinggal coba test jalan
